,Contrato,Dirección,tipo,calle,NUMERO,PISO,Nº Serie Contador Esf.1,xcoord,ycoord,localId,USO 2020,2020-1,2020-2,2020-3,2020-4,USO 2018,2018-1,2018-2,2018-3,USO 2019,2019-1,2019-2,2019-3
1182,9401350,TORO PINTAO 10,DOMESTICO,TORO PINTAO,10.0,S/N,1679346,-6.4209106485390866,39.560880216599294,10.050.79.10.1827606QD2812N,1.0,19.0,19.0,15.0,,3.0,4.0,5.0,9.0,0.0,0.0,1.0,1.0
1183,9403507,"VALLE DEL JERTE, DEL 55",DOMESTICO,VALLE DEL JERTE DEL,55.0,S/N,H02291496,-6.416390861618271,39.56209819325918,10.050.201.55.2127917QD2822N,68.0,105.0,84.0,86.0,,48.0,55.0,43.0,57.0,53.0,49.0,64.0,58.0
1184,9438334,LARGA ALTA 17,DOMESTICO,LARGA ALTA,17.0,S/N,6805068,-6.41807677684731,39.55911155260433,10.050.39.17.2125743QD2822N,66.0,87.0,91.0,76.0,,72.0,80.0,86.0,72.0,64.0,77.0,76.0,70.0
1185,9451892,BARRIONUEVO ALTO 73 1º,DOMESTICO,BARRIONUEVO ALTO,73.0,1º,279931,-6.416935742796804,39.5577612789617,10.050.70.73.2223811QD2822S,2.0,5.0,8.0,7.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1186,9482186,BARRIONUEVO BAJO 69,DOMESTICO,BARRIONUEVO BAJO,69.0,S/N,81149041,-6.4169539131581175,39.55791446654707,10.050.70.69.2223813QD2822S,2.0,6.0,4.0,2.0,,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
1187,9482466,PS.EXTREMADURA 3 A,DOMESTICO,EXTREMADURA,3.0,A,400255,-6.416852887099881,39.555300532813554,10.050.9.3.2220803QD2822S,21.0,12.0,12.0,10.0,,29.0,35.0,28.0,19.0,21.0,20.0,21.0,16.0
1188,9487142,BARRIONUEVO BAJO 36,DOMESTICO,BARRIONUEVO BAJO,36.0,S/N,J986409,-6.417126408041813,39.55845314700174,10.050.70.36.2123506QD2822S,8.0,12.0,10.0,11.0,,9.0,11.0,14.0,11.0,9.0,11.0,12.0,10.0
1189,9487544,ANGEL RODRIGUEZ CAMPOS 10,DOMESTICO,ANGEL RODRIGUEZ CAMPOS,10.0,S/N,M207053,-6.417750616395807,39.55422802310136,10.050.3.10.2119015QD2821N,27.0,36.0,33.0,32.0,,0.0,11.0,33.0,29.0,27.0,29.0,25.0,29.0
1190,9487843,LARGA BAJA 62,DOMESTICO,LARGA BAJA,62.0,S/N,96068650,-6.4186214504614,39.56153030176273,10.050.41.62.2027110QD2822N,28.0,2.0,4.0,12.0,,19.0,16.0,16.0,18.0,22.0,25.0,23.0,24.0
1191,9501826,"PORTUGAL, TRAV. 1",DOMESTICO,PORTUGAL,1.0,S/N,121002954,-6.417821307330144,39.559710802058845,10.050.101.1.2125723QD2822N,0.0,0.0,13.0,0.0,,0.0,0.0,9.0,1.0,0.0,1.0,10.0,1.0
1192,9547398,C/ MADRID 7,DOMESTICO,MADRID,7.0,S/N,J767443,-6.415832317501384,39.55348186246609,10.050.163.7.2318807QD2821N,43.0,70.0,47.0,48.0,,40.0,43.0,40.0,46.0,45.0,47.0,50.0,48.0
1193,9548256,SAN BENITO 8,DOMESTICO,SAN BENITO,8.0,S/N,1727294,-6.417957898354551,39.554619372819,10.050.28.8.2019205QD2821N,2.0,26.0,23.0,21.0,,1.0,1.0,0.0,2.0,2.0,12.0,15.0,6.0
1194,9591116,NUEVA 8 A,DOMESTICO,NUEVA,8.0,A,424024,-6.421584173006986,39.55943543448718,10.050.105.8.1725010QD2812N,12.0,17.0,11.0,0.0,,10.0,13.0,10.0,9.0,13.0,13.0,11.0,9.0
1195,9632571,PAREDES 8 BAJO,DOMESTICO,PAREDES,8.0,BAJO,16 121033,-6.418707416310624,39.55930069990227,10.050.43.8.2024072QD2822S,24.0,37.0,35.0,32.0,,26.0,23.0,26.0,25.0,25.0,26.0,36.0,27.0
1196,9645623,CORTES 9,NO DOMESTICO,CORTES,9.0,S/N,11179938,-6.419249468656156,39.56074530254625,10.050.72.9.1926210QD2812N,11.0,4.0,9.0,8.0,,12.0,13.0,13.0,12.0,11.0,11.0,10.0,7.0
1197,9647600,BARRIONUEVO BAJO 44,DOMESTICO,BARRIONUEVO BAJO,44.0,S/N,1711851,-6.417102253172347,39.55819469008478,10.050.70.44.2123509QD2822S,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0
1198,9702681,MALVINAS 108,DOMESTICO,MALVINAS,108.0,S/N,58683206,-6.4180994021399185,39.553142494297646,10.050.130.108.2018312QD2821N,32.0,40.0,39.0,41.0,,33.0,33.0,30.0,30.0,33.0,33.0,29.0,32.0
1199,9703154,MALVINAS 11,DOMESTICO,MALVINAS,11.0,S/N,2862874,-6.419582915441727,39.55296350246727,10.050.130.11.1917412QD2811N,19.0,27.0,29.0,27.0,,18.0,22.0,28.0,21.0,20.0,20.0,24.0,21.0
1200,9754378,LARGA BAJA 34 1º-C,DOMESTICO,LARGA BAJA,34.0,1º-C,05-453956,-6.418416854620492,39.560654366698955,10.050.41.34.2125769QD2822N,13.0,13.0,17.0,16.0,,6.0,3.0,11.0,9.0,9.0,12.0,13.0,12.0
1201,9769804,"CHARCA, RDA. 16-1-B",DOMESTICO,CHARCA,16.0,1-B,J349148,-6.421891731303333,39.55690320500681,10.050.8.16.1723513QD2812S,13.0,13.0,14.0,15.0,,4.0,6.0,12.0,13.0,13.0,11.0,11.0,10.0
1202,9807345,SANGUINO 55-1-DCH,DOMESTICO,SANGUINO,55.0,1-DCH,16299989,-6.419040668155321,39.556633005028054,10.050.91.55.2021065QD2822S,20.0,24.0,22.0,30.0,,18.0,23.0,23.0,22.0,20.0,25.0,24.0,23.0
1203,9824435,PARRA 10,DOMESTICO,PARRA,10.0,S/N,L906494,-6.41937073436684,39.55928355879479,10.050.15.10.1924114QD2812S,17.0,21.0,40.0,17.0,,25.0,24.0,46.0,19.0,18.0,19.0,30.0,16.0
1204,9884977,"SOLEDAD, RDA. 23 N-3",GARAJES,SOLEDAD,23.0,N-3,11018106,-6.422825111317286,39.55942424411238,10.050.52.23.1726614QD2812N,0.0,1.0,1.0,1.0,,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
1205,9886007,SANGUINO 85,DOMESTICO,SANGUINO,85.0,S/N,1071043,-6.4186627203949485,39.55597291654597,10.050.91.85.2021050QD2822S,4.0,3.0,0.0,0.0,,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0
1206,9894511,"NUÑEZ DE BALBOA, TRVA 6 2º-B",DOMESTICO,NUÑEZ DE BALBOA TRVA,6.0,2º-B,R96458856,-6.4197477341643205,39.557305807526824,10.050.99.6.1922009QD2812S,8.0,8.0,8.0,10.0,,11.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0
1207,9897134,SATURNINO MARTIN MORENO 5 A,DOMESTICO,SATURNINO MARTIN MORENO,5.0,A,51587730,-6.418349038865884,39.554635007126166,10.050.34.5.2019207QD2821N,16.0,19.0,12.0,18.0,,16.0,15.0,12.0,20.0,16.0,15.0,11.0,15.0
1208,9897137,AV.CONSTITUCION 25-A,DOMESTICO,CONSTITUCION,25.0,A,18-43885,-6.419730506449001,39.55959964846411,10.050.42.25.1924108QD2812S,4.0,16.0,17.0,11.0,,0.0,0.0,0.0,25.0,4.0,9.0,5.0,6.0
1209,9897138,BARRIONUEVO BAJO 53 A,DOMESTICO,BARRIONUEVO BAJO,53.0,A,99111455,-6.417017534372651,39.558313612287876,10.050.70.53.2223821QD2822S,13.0,20.0,1.0,10.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1210,9903847,LARGA BAJA 78,COMERCIAL,LARGA BAJA,78.0,S/N,B40016735,-6.417575696487427,39.55713788192545,10.050.39.78.2122712QD2822S,3.0,3.0,6.0,6.0,,1.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0
1211,9929912,SOLANA 22,DOMESTICO,SOLANA,22.0,S/N,J825140,-6.419013760387315,39.56036035008971,10.050.35.22.2026631QD2822N,14.0,0.0,3.0,0.0,,8.0,0.0,23.0,2.0,14.0,0.0,18.0,2.0
1212,9937313,AV.EJIDO DE ABAJO 181,DOMESTICO,EJIDO DE ABAJO,181.0,S/N,81622590,-6.419062119718399,39.56346792288633,10.050.176.181.1928913QD2812N,16.0,29.0,25.0,17.0,,2.0,20.0,12.0,18.0,16.0,16.0,15.0,15.0
1213,9949920,LARGA ALTA 56,DOMESTICO,LARGA ALTA,56.0,S/N,170710206,-6.417780799637718,39.55773250570085,10.050.39.56.2024038QD2822S,21.0,15.0,11.0,15.0,,9.0,16.0,19.0,16.0,20.0,19.0,21.0,18.0
