Fecha,Volumen
2021-01-01 00:00:00,1150
2021-01-02 00:00:00,761
2021-01-03 00:00:00,840
2021-01-04 00:00:00,744
2021-01-05 00:00:00,1045
2021-01-06 00:00:00,806
2021-01-07 00:00:00,989
2021-01-08 00:00:00,1225
2021-01-09 00:00:00,936
2021-01-10 00:00:00,805
2021-01-11 00:00:00,1007
2021-01-12 00:00:00,985
2021-01-13 00:00:00,1365
2021-01-14 00:00:00,841
2021-01-15 00:00:00,1181
2021-01-16 00:00:00,1410
2021-01-17 00:00:00,911
2021-01-18 00:00:00,360
2021-01-19 00:00:00,534
2021-01-20 00:00:00,1424
2021-01-21 00:00:00,835
2021-01-22 00:00:00,944
2021-01-23 00:00:00,1282
2021-01-24 00:00:00,722
2021-01-25 00:00:00,843
2021-01-26 00:00:00,1086
2021-01-27 00:00:00,884
2021-01-28 00:00:00,741
2021-01-29 00:00:00,776
2021-01-30 00:00:00,998
2021-01-31 00:00:00,1220
2021-02-01 00:00:00,815
2021-02-02 00:00:00,720
2021-02-03 00:00:00,1019
2021-02-04 00:00:00,1051
2021-02-05 00:00:00,1046
2021-02-06 00:00:00,641
2021-02-07 00:00:00,677
2021-02-08 00:00:00,687
2021-02-09 00:00:00,774
2021-02-10 00:00:00,1117
2021-02-11 00:00:00,906
2021-02-12 00:00:00,1132
2021-02-13 00:00:00,1101
2021-02-14 00:00:00,876
2021-02-15 00:00:00,888
2021-02-16 00:00:00,933
2021-02-17 00:00:00,1169
2021-02-18 00:00:00,1020
2021-02-19 00:00:00,901
2021-02-20 00:00:00,835
2021-02-21 00:00:00,655
2021-02-22 00:00:00,869
2021-02-23 00:00:00,892
2021-02-24 00:00:00,895
2021-02-25 00:00:00,885
2021-02-26 00:00:00,726
2021-02-27 00:00:00,988
2021-02-28 00:00:00,914
2021-03-01 00:00:00,1319
2021-03-02 00:00:00,1132
2021-03-03 00:00:00,1075
2021-03-04 00:00:00,1138
2021-03-05 00:00:00,1148
2021-03-06 00:00:00,1056
2021-03-07 00:00:00,982
2021-03-08 00:00:00,1305
2021-03-09 00:00:00,1114
2021-03-10 00:00:00,1222
2021-03-11 00:00:00,1224
2021-03-12 00:00:00,1199
2021-03-13 00:00:00,1141
2021-03-14 00:00:00,1043
2021-03-15 00:00:00,1296
2021-03-16 00:00:00,1189
2021-03-17 00:00:00,1274
2021-03-18 00:00:00,1248
2021-03-19 00:00:00,1030
2021-03-20 00:00:00,1137
2021-03-21 00:00:00,1128
2021-03-22 00:00:00,1518
2021-03-23 00:00:00,1323
2021-03-24 00:00:00,1340
2021-03-25 00:00:00,1219
2021-03-26 00:00:00,1291
2021-03-27 00:00:00,1206
2021-03-28 00:00:00,1094
2021-03-29 00:00:00,1229
2021-03-30 00:00:00,1555
2021-03-31 00:00:00,1499
