Fecha,Volumen
2022-04-01 00:00:00,1066
2022-04-02 00:00:00,1060
2022-04-03 00:00:00,1374
2022-04-04 00:00:00,1573
2022-04-05 00:00:00,1560
2022-04-06 00:00:00,1402
2022-04-07 00:00:00,1777
2022-04-08 00:00:00,1408
2022-04-09 00:00:00,1383
2022-04-10 00:00:00,936
2022-04-11 00:00:00,1363
2022-04-12 00:00:00,1517
2022-04-13 00:00:00,1668
2022-04-14 00:00:00,1243
2022-04-15 00:00:00,1504
2022-04-16 00:00:00,1483
2022-04-17 00:00:00,1473
2022-04-18 00:00:00,978
2022-04-19 00:00:00,1157
2022-04-20 00:00:00,1251
2022-04-21 00:00:00,1176
2022-04-22 00:00:00,1193
2022-04-23 00:00:00,1279
2022-04-24 00:00:00,1651
2022-04-25 00:00:00,1492
2022-04-26 00:00:00,1408
2022-04-27 00:00:00,1455
2022-04-28 00:00:00,1452
2022-04-29 00:00:00,1354
2022-04-30 00:00:00,1300
