Fecha,Volumen
2021-01-01 00:00:00,1150
2021-01-02 00:00:00,761
2021-01-03 00:00:00,840
2021-01-04 00:00:00,744
2021-01-05 00:00:00,1045
2021-01-06 00:00:00,806
2021-01-07 00:00:00,989
2021-01-08 00:00:00,1225
2021-01-09 00:00:00,936
2021-01-10 00:00:00,805
2021-01-11 00:00:00,1007
2021-01-12 00:00:00,985
2021-01-13 00:00:00,1365
2021-01-14 00:00:00,841
2021-01-15 00:00:00,1181
2021-01-16 00:00:00,1410
2021-01-17 00:00:00,911
2021-01-18 00:00:00,360
2021-01-19 00:00:00,534
2021-01-20 00:00:00,1424
2021-01-21 00:00:00,835
2021-01-22 00:00:00,944
2021-01-23 00:00:00,1282
2021-01-24 00:00:00,722
2021-01-25 00:00:00,843
2021-01-26 00:00:00,1086
2021-01-27 00:00:00,884
2021-01-28 00:00:00,741
2021-01-29 00:00:00,776
2021-01-30 00:00:00,998
2021-01-31 00:00:00,1220
2021-02-01 00:00:00,815
2021-02-02 00:00:00,720
2021-02-03 00:00:00,1019
2021-02-04 00:00:00,1051
2021-02-05 00:00:00,1046
2021-02-06 00:00:00,641
2021-02-07 00:00:00,677
2021-02-08 00:00:00,687
2021-02-09 00:00:00,774
2021-02-10 00:00:00,1117
2021-02-11 00:00:00,906
2021-02-12 00:00:00,1132
2021-02-13 00:00:00,1101
2021-02-14 00:00:00,876
2021-02-15 00:00:00,888
2021-02-16 00:00:00,933
2021-02-17 00:00:00,1169
2021-02-18 00:00:00,1020
2021-02-19 00:00:00,901
2021-02-20 00:00:00,835
2021-02-21 00:00:00,655
2021-02-22 00:00:00,869
2021-02-23 00:00:00,892
2021-02-24 00:00:00,895
2021-02-25 00:00:00,885
2021-02-26 00:00:00,726
2021-02-27 00:00:00,988
2021-02-28 00:00:00,914
2021-03-01 00:00:00,1319
2021-03-02 00:00:00,1132
2021-03-03 00:00:00,1075
2021-03-04 00:00:00,1138
2021-03-05 00:00:00,1148
2021-03-06 00:00:00,1056
2021-03-07 00:00:00,982
2021-03-08 00:00:00,1305
2021-03-09 00:00:00,1114
2021-03-10 00:00:00,1222
2021-03-11 00:00:00,1224
2021-03-12 00:00:00,1199
2021-03-13 00:00:00,1141
2021-03-14 00:00:00,1043
2021-03-15 00:00:00,1296
2021-03-16 00:00:00,1189
2021-03-17 00:00:00,1274
2021-03-18 00:00:00,1248
2021-03-19 00:00:00,1030
2021-03-20 00:00:00,1137
2021-03-21 00:00:00,1128
2021-03-22 00:00:00,1518
2021-03-23 00:00:00,1323
2021-03-24 00:00:00,1340
2021-03-25 00:00:00,1219
2021-03-26 00:00:00,1291
2021-03-27 00:00:00,1206
2021-03-28 00:00:00,1094
2021-03-29 00:00:00,1229
2021-03-30 00:00:00,1555
2021-03-31 00:00:00,1499
2021-04-01 00:00:00,1437
2021-04-02 00:00:00,913
2021-04-03 00:00:00,892
2021-04-04 00:00:00,842
2021-04-05 00:00:00,1227
2021-04-06 00:00:00,749
2021-04-07 00:00:00,790
2021-04-08 00:00:00,539
2021-04-09 00:00:00,656
2021-04-10 00:00:00,495
2021-04-11 00:00:00,807
2021-04-12 00:00:00,370
2021-04-13 00:00:00,687
2021-04-14 00:00:00,801
2021-04-15 00:00:00,922
2021-04-16 00:00:00,1042
2021-04-17 00:00:00,889
2021-04-18 00:00:00,939
2021-04-19 00:00:00,664
2021-04-20 00:00:00,1025
2021-04-21 00:00:00,937
2021-04-22 00:00:00,776
2021-04-23 00:00:00,987
2021-04-24 00:00:00,812
2021-04-25 00:00:00,871
2021-04-26 00:00:00,845
2021-04-27 00:00:00,893
2021-04-28 00:00:00,942
2021-04-29 00:00:00,862
2021-04-30 00:00:00,825
2021-05-01 00:00:00,1315
2021-05-02 00:00:00,953
2021-05-03 00:00:00,1081
2021-05-04 00:00:00,1352
2021-05-05 00:00:00,1297
2021-05-06 00:00:00,1514
2021-05-07 00:00:00,1411
2021-05-08 00:00:00,1696
2021-05-09 00:00:00,1345
2021-05-10 00:00:00,1116
2021-05-11 00:00:00,1432
2021-05-12 00:00:00,1312
2021-05-13 00:00:00,1523
2021-05-14 00:00:00,1451
2021-05-15 00:00:00,1086
2021-05-16 00:00:00,1729
2021-05-17 00:00:00,1606
2021-05-18 00:00:00,2590
2021-05-19 00:00:00,2017
2021-05-20 00:00:00,2133
2021-05-21 00:00:00,2229
2021-05-22 00:00:00,1507
2021-05-23 00:00:00,1226
2021-05-24 00:00:00,1241
2021-05-25 00:00:00,1702
2021-05-26 00:00:00,1510
2021-05-27 00:00:00,1283
2021-05-28 00:00:00,1629
2021-05-29 00:00:00,1449
2021-05-30 00:00:00,1654
2021-05-31 00:00:00,1889
2021-06-01 00:00:00,1638
2021-06-02 00:00:00,1568
2021-06-03 00:00:00,1536
2021-06-04 00:00:00,1562
2021-06-05 00:00:00,1491
2021-06-06 00:00:00,1476
2021-06-07 00:00:00,1508
2021-06-08 00:00:00,1610
2021-06-09 00:00:00,1751
2021-06-10 00:00:00,1894
2021-06-11 00:00:00,1973
2021-06-12 00:00:00,1769
2021-06-13 00:00:00,1675
2021-06-14 00:00:00,1586
2021-06-15 00:00:00,1322
2021-06-16 00:00:00,1593
2021-06-17 00:00:00,1699
2021-06-18 00:00:00,1880
2021-06-19 00:00:00,1734
2021-06-20 00:00:00,1418
2021-06-21 00:00:00,2311
2021-06-22 00:00:00,1919
2021-06-23 00:00:00,2077
2021-06-24 00:00:00,1549
2021-06-25 00:00:00,1577
2021-06-26 00:00:00,1596
2021-06-27 00:00:00,1312
2021-06-28 00:00:00,1852
2021-06-29 00:00:00,2016
2021-06-30 00:00:00,1677
2021-07-01 00:00:00,1639
2021-07-02 00:00:00,1586
