Fecha,Volumen
2021-04-01 00:00:00,2090
2021-04-02 00:00:00,1947
2021-04-03 00:00:00,1622
2021-04-04 00:00:00,1897
2021-04-05 00:00:00,1843
2021-04-06 00:00:00,1492
2021-04-07 00:00:00,1299
2021-04-08 00:00:00,2055
2021-04-09 00:00:00,1751
2021-04-10 00:00:00,1779
2021-04-11 00:00:00,1656
2021-04-12 00:00:00,1615
2021-04-13 00:00:00,1771
2021-04-14 00:00:00,2208
2021-04-15 00:00:00,1684
2021-04-16 00:00:00,2500
2021-04-17 00:00:00,1921
2021-04-18 00:00:00,1151
2021-04-19 00:00:00,2114
2021-04-20 00:00:00,1722
2021-04-21 00:00:00,2168
2021-04-22 00:00:00,1680
2021-04-23 00:00:00,1844
2021-04-24 00:00:00,1177
2021-04-25 00:00:00,2025
2021-04-26 00:00:00,1737
2021-04-27 00:00:00,2199
2021-04-28 00:00:00,1846
2021-04-29 00:00:00,1566
2021-04-30 00:00:00,1403
