Fecha,Volumen
2021-05-01 00:00:00,1664
2021-05-02 00:00:00,1637
2021-05-03 00:00:00,1421
2021-05-04 00:00:00,1873
2021-05-05 00:00:00,1310
2021-05-06 00:00:00,1658
2021-05-07 00:00:00,1573
2021-05-08 00:00:00,1488
2021-05-09 00:00:00,1124
2021-05-10 00:00:00,2092
2021-05-11 00:00:00,2391
2021-05-12 00:00:00,1746
2021-05-13 00:00:00,1548
2021-05-14 00:00:00,2073
2021-05-15 00:00:00,1164
2021-05-16 00:00:00,1463
2021-05-17 00:00:00,1127
2021-05-18 00:00:00,1592
2021-05-19 00:00:00,1645
2021-05-20 00:00:00,1148
2021-05-21 00:00:00,1165
2021-05-22 00:00:00,1340
2021-05-23 00:00:00,1092
2021-05-24 00:00:00,1012
2021-05-25 00:00:00,1083
2021-05-26 00:00:00,927
2021-05-27 00:00:00,1061
2021-05-28 00:00:00,949
2021-05-29 00:00:00,898
2021-05-30 00:00:00,926
2021-05-31 00:00:00,814
2021-06-01 00:00:00,1144
2021-06-02 00:00:00,595
2021-06-03 00:00:00,982
2021-06-04 00:00:00,691
2021-06-05 00:00:00,1099
2021-06-06 00:00:00,884
2021-06-07 00:00:00,1136
2021-06-08 00:00:00,1309
2021-06-09 00:00:00,1159
2021-06-10 00:00:00,1070
2021-06-11 00:00:00,1128
2021-06-12 00:00:00,1131
2021-06-13 00:00:00,1399
2021-06-14 00:00:00,1398
2021-06-15 00:00:00,915
2021-06-16 00:00:00,1225
2021-06-17 00:00:00,1080
2021-06-18 00:00:00,1342
2021-06-19 00:00:00,1976
2021-06-20 00:00:00,970
2021-06-21 00:00:00,1072
2021-06-22 00:00:00,1293
2021-06-23 00:00:00,1542
2021-06-24 00:00:00,1206
2021-06-25 00:00:00,1213
2021-06-26 00:00:00,1501
2021-06-27 00:00:00,822
2021-06-28 00:00:00,963
2021-06-29 00:00:00,1013
2021-06-30 00:00:00,1075
2021-07-01 00:00:00,741
2021-07-02 00:00:00,1171
2021-07-03 00:00:00,900
2021-07-04 00:00:00,859
2021-07-05 00:00:00,925
2021-07-06 00:00:00,815
2021-07-07 00:00:00,703
2021-07-08 00:00:00,826
2021-07-09 00:00:00,861
2021-07-10 00:00:00,918
2021-07-11 00:00:00,774
2021-07-12 00:00:00,713
2021-07-13 00:00:00,1027
2021-07-14 00:00:00,561
2021-07-15 00:00:00,796
2021-07-16 00:00:00,897
2021-07-17 00:00:00,920
2021-07-18 00:00:00,828
2021-07-19 00:00:00,681
2021-07-20 00:00:00,812
2021-07-21 00:00:00,839
2021-07-22 00:00:00,932
2021-07-23 00:00:00,689
2021-07-24 00:00:00,935
2021-07-25 00:00:00,668
2021-07-26 00:00:00,924
2021-07-27 00:00:00,584
2021-07-28 00:00:00,1014
2021-07-29 00:00:00,603
2021-07-30 00:00:00,903
2021-07-31 00:00:00,901
2021-08-01 00:00:00,978
2021-08-02 00:00:00,718
2021-08-03 00:00:00,845
2021-08-04 00:00:00,851
2021-08-05 00:00:00,813
2021-08-06 00:00:00,845
2021-08-07 00:00:00,915
2021-08-08 00:00:00,741
2021-08-09 00:00:00,754
2021-08-10 00:00:00,848
2021-08-11 00:00:00,836
2021-08-12 00:00:00,972
2021-08-13 00:00:00,704
2021-08-14 00:00:00,932
2021-08-15 00:00:00,978
2021-08-16 00:00:00,711
2021-08-17 00:00:00,890
2021-08-18 00:00:00,906
2021-08-19 00:00:00,882
2021-08-20 00:00:00,882
2021-08-21 00:00:00,851
2021-08-22 00:00:00,787
2021-08-23 00:00:00,739
2021-08-24 00:00:00,887
2021-08-25 00:00:00,809
2021-08-26 00:00:00,761
2021-08-27 00:00:00,840
2021-08-28 00:00:00,980
2021-08-29 00:00:00,890
2021-08-30 00:00:00,998
2021-08-31 00:00:00,1002
2021-09-01 00:00:00,1277
2021-09-02 00:00:00,975
2021-09-03 00:00:00,1035
2021-09-04 00:00:00,857
2021-09-05 00:00:00,851
2021-09-06 00:00:00,773
2021-09-07 00:00:00,775
2021-09-08 00:00:00,779
2021-09-09 00:00:00,855
2021-09-10 00:00:00,843
2021-09-11 00:00:00,578
2021-09-12 00:00:00,915
2021-09-13 00:00:00,886
2021-09-14 00:00:00,904
2021-09-15 00:00:00,879
2021-09-16 00:00:00,804
2021-09-17 00:00:00,895
2021-09-18 00:00:00,811
2021-09-19 00:00:00,799
2021-09-20 00:00:00,721
2021-09-21 00:00:00,904
2021-09-22 00:00:00,889
2021-09-23 00:00:00,906
2021-09-24 00:00:00,911
2021-09-25 00:00:00,909
2021-09-26 00:00:00,877
2021-09-27 00:00:00,1005
2021-09-28 00:00:00,952
2021-09-29 00:00:00,1123
2021-09-30 00:00:00,892
2021-10-01 00:00:00,1456
2021-10-02 00:00:00,1075
2021-10-03 00:00:00,1250
2021-10-04 00:00:00,1375
2021-10-05 00:00:00,1125
2021-10-06 00:00:00,1400
2021-10-07 00:00:00,1478
2021-10-08 00:00:00,1215
2021-10-09 00:00:00,1089
2021-10-10 00:00:00,1206
2021-10-11 00:00:00,1547
2021-10-12 00:00:00,1258
2021-10-13 00:00:00,1315
2021-10-14 00:00:00,1368
2021-10-15 00:00:00,1254
2021-10-16 00:00:00,1752
2021-10-17 00:00:00,1562
2021-10-18 00:00:00,1387
2021-10-19 00:00:00,1349
2021-10-20 00:00:00,1298
2021-10-21 00:00:00,1005
2021-10-22 00:00:00,1164
2021-10-23 00:00:00,1265
2021-10-24 00:00:00,1314
