Fecha,Volumen
2021-11-01 00:00:00,2008
2021-11-02 00:00:00,1193
2021-11-03 00:00:00,2001
2021-11-04 00:00:00,1244
2021-11-05 00:00:00,1753
2021-11-06 00:00:00,807
2021-11-07 00:00:00,1256
2021-11-08 00:00:00,1211
2021-11-09 00:00:00,1075
2021-11-10 00:00:00,1280
2021-11-11 00:00:00,1203
2021-11-12 00:00:00,1178
2021-11-13 00:00:00,1324
2021-11-14 00:00:00,1087
2021-11-15 00:00:00,1289
2021-11-16 00:00:00,1123
2021-11-17 00:00:00,1314
2021-11-18 00:00:00,1382
2021-11-19 00:00:00,1254
2021-11-20 00:00:00,1135
2021-11-21 00:00:00,1231
2021-11-22 00:00:00,1167
2021-11-23 00:00:00,1193
2021-11-24 00:00:00,1356
2021-11-25 00:00:00,1208
2021-11-26 00:00:00,1563
2021-11-27 00:00:00,1434
2021-11-28 00:00:00,1476
2021-11-29 00:00:00,1289
2021-11-30 00:00:00,1304
2021-12-01 00:00:00,1362
2021-12-02 00:00:00,1240
2021-12-03 00:00:00,1606
2021-12-04 00:00:00,951
2021-12-05 00:00:00,1171
2021-12-06 00:00:00,1094
2021-12-07 00:00:00,1046
2021-12-08 00:00:00,1540
2021-12-09 00:00:00,1659
2021-12-10 00:00:00,1229
2021-12-11 00:00:00,1244
2021-12-12 00:00:00,1656
2021-12-13 00:00:00,2907
2021-12-14 00:00:00,618
2021-12-15 00:00:00,751
2021-12-16 00:00:00,1192
2021-12-17 00:00:00,1189
2021-12-18 00:00:00,776
2021-12-19 00:00:00,1372
2021-12-20 00:00:00,1041
2021-12-21 00:00:00,2583
2021-12-22 00:00:00,2066
2021-12-23 00:00:00,1871
2021-12-24 00:00:00,1907
2021-12-25 00:00:00,1871
2021-12-26 00:00:00,2763
2021-12-27 00:00:00,2486
2021-12-28 00:00:00,1847
2021-12-29 00:00:00,2204
2021-12-30 00:00:00,1165
2021-12-31 00:00:00,1823
2022-01-01 00:00:00,1338
2022-01-02 00:00:00,1302
2022-01-03 00:00:00,1330
2022-01-04 00:00:00,1556
2022-01-05 00:00:00,1810
2022-01-06 00:00:00,1267
2022-01-07 00:00:00,1497
2022-01-08 00:00:00,1442
2022-01-09 00:00:00,1171
2022-01-10 00:00:00,1129
2022-01-11 00:00:00,1480
2022-01-12 00:00:00,1336
2022-01-13 00:00:00,1371
2022-01-14 00:00:00,1665
2022-01-15 00:00:00,1506
2022-01-16 00:00:00,1337
2022-01-17 00:00:00,1276
2022-01-18 00:00:00,1696
2022-01-19 00:00:00,1011
2022-01-20 00:00:00,1538
