Fecha,Volumen
2022-04-01 00:00:00,1066
2022-04-02 00:00:00,944
2022-04-03 00:00:00,914
2022-04-04 00:00:00,1205
2022-04-05 00:00:00,1076
2022-04-06 00:00:00,1007
2022-04-07 00:00:00,912
2022-04-08 00:00:00,1327
2022-04-09 00:00:00,873
2022-04-10 00:00:00,914
2022-04-11 00:00:00,1346
2022-04-12 00:00:00,1045
2022-04-13 00:00:00,1187
2022-04-14 00:00:00,1057
2022-04-15 00:00:00,1273
2022-04-16 00:00:00,974
2022-04-17 00:00:00,1259
2022-04-18 00:00:00,1036
2022-04-19 00:00:00,1413
2022-04-20 00:00:00,1101
2022-04-21 00:00:00,1134
2022-04-22 00:00:00,1135
2022-04-23 00:00:00,1051
2022-04-24 00:00:00,1059
2022-04-25 00:00:00,1337
2022-04-26 00:00:00,1069
2022-04-27 00:00:00,1184
2022-04-28 00:00:00,1163
2022-04-29 00:00:00,1374
2022-04-30 00:00:00,949
